Fase,FechaMedicion,Voltaje,Corriente,Potencia,FactorPotencia,Frecuencia,EnergiaActiva
1,2026-02-16 17:10:00,121.97,3.631,362.55,0.819,59.96,10.455
1,2026-02-16 17:20:00,122.04,4.635,411.76,0.736,59.95,10.524
1,2026-02-16 17:30:00,120.76,4.344,388.18,0.747,59.95,10.591
1,2026-02-16 17:40:00,119.82,4.563,403.59,0.744,59.95,10.66
1,2026-02-16 17:50:00,119.63,5.032,479.04,0.796,59.94,10.738
1,2026-02-16 18:00:00,120.42,5.484,517.73,0.784,59.98,10.824
1,2026-02-16 18:10:00,121.16,4.511,429.53,0.792,59.93,10.897
1,2026-02-16 18:20:00,120.41,4.25,459.15,0.896,59.96,10.975
1,2026-02-16 18:30:00,120.79,4.25,466.85,0.908,59.97,11.051
1,2026-02-16 18:40:00,119.54,5.666,544.31,0.808,59.98,11.139
1,2026-02-16 18:50:00,118.98,4.624,461.87,0.846,59.96,11.219
1,2026-02-16 19:00:00,118.17,5.786,564.51,0.828,59.96,11.312
1,2026-02-16 19:10:00,118.22,8.122,882.13,0.915,59.96,11.455
1,2026-02-16 19:20:00,120.22,5.317,565.65,0.888,59.98,11.559
1,2026-02-16 19:30:00,120.93,2.961,328.26,0.917,59.96,11.615
1,2026-02-16 19:40:00,120.07,5.461,607.74,0.917,59.95,11.703
1,2026-02-16 19:50:00,119.02,8.934,1027.9,0.952,59.94,11.906
1,2026-02-16 20:00:00,120.06,4.287,468.38,0.905,59.98,11.974
1,2026-02-16 20:10:00,120.75,2.812,308.91,0.904,59.93,12.029
1,2026-02-16 20:20:00,120.371,5.782,623.2,0.894,60.0,12.105
1,2026-02-16 20:30:00,121.29,2.218,240.56,0.893,59.98,12.169
1,2026-02-16 20:40:00,118.31,3.494,363.07,0.881,59.94,12.231
1,2026-02-16 20:50:00,120.36,3.024,337.73,0.913,59.95,12.283
1,2026-02-16 21:00:00,121.92,4.913,582.63,0.962,59.96,12.388
1,2026-02-16 21:10:00,122.88,2.269,248.37,0.892,59.94,12.429
1,2026-02-16 21:20:00,121.71,5.682,630.05,0.906,59.94,12.533
1,2026-02-16 21:30:00,120.16,4.83,527.45,0.897,59.93,12.635
1,2026-02-16 21:40:00,122.75,3.41,350.775,0.837,59.95,12.696
1,2026-02-16 21:50:00,122.7,1.95,202.88,0.849,59.93,12.732
1,2026-02-16 22:00:00,121.244,3.859,395.922,0.846,59.944,12.788
1,2026-02-16 22:10:00,121.97,4.829,555.46,0.929,59.96,12.884
1,2026-02-16 22:20:00,123.5,3.122,315.91,0.822,59.94,12.935
1,2026-02-16 22:30:00,123.35,1.865,191.57,0.834,59.96,12.968
1,2026-02-16 22:40:00,121.74,3.127,312.47,0.823,59.96,13.023
1,2026-02-16 22:50:00,121.53,1.676,169.25,0.829,59.96,13.053
1,2026-02-16 23:00:00,120.86,3.951,400.98,0.829,59.96,13.104
1,2026-02-16 23:10:00,121.61,1.642,168.29,0.844,59.93,13.135
1,2026-02-16 23:20:00,119.59,2.927,291.88,0.836,59.98,13.189
1,2026-02-16 23:30:00,119.33,1.997,199.8,0.839,59.96,13.222
1,2026-02-16 23:40:00,117.32,2.833,280.25,0.844,59.96,13.271
1,2026-02-16 23:50:00,120.83,2.469,261.06,0.86,59.96,13.306
1,2026-02-17 00:00:00,121.28,2.648,268.32,0.841,59.97,13.354
1,2026-02-17 00:10:00,121.59,2.183,222.25,0.841,59.96,13.39
1,2026-02-17 00:20:00,121.47,2.486,250.73,0.834,59.97,13.435
1,2026-02-17 00:30:00,121.28,2.34,236.93,0.839,59.97,13.475
1,2026-02-17 00:40:00,122.34,2.351,238.28,0.832,59.97,13.515
1,2026-02-17 00:50:00,121.8,2.606,262.144,0.828,59.978,13.554
1,2026-02-17 01:00:00,122.244,1.844,187.867,0.836,59.967,13.596
1,2026-02-17 01:10:00,121.86,2.75,274.97,0.824,59.97,13.646
1,2026-02-17 01:20:00,122.22,1.783,182.72,0.844,59.97,13.679
1,2026-02-17 01:30:00,121.27,2.869,286.64,0.828,59.96,13.726
