FechaMedicion,Potencia,Voltaje,FactorPotencia,Frecuencia,phase,variant
2026-02-17 12:00:00,19.96,114.48,0.506,59.96,2,multivariable
2026-02-17 12:10:00,19.84,115.42,0.5,59.95,2,multivariable
2026-02-17 12:20:00,19.55,114.3,0.503,59.97,2,multivariable
2026-02-17 12:30:00,19.58,115.14,0.503,59.95,2,multivariable
2026-02-17 12:40:00,19.62,115.05,0.514,59.93,2,multivariable
2026-02-17 12:50:00,47.75,116.09,0.567,59.95,2,multivariable
2026-02-17 13:00:00,19.9,116.51,0.514,59.96,2,multivariable
2026-02-17 13:10:00,19.7,116.31,0.51,59.96,2,multivariable
2026-02-17 13:20:00,19.74,116.86,0.508,59.94,2,multivariable
2026-02-17 13:30:00,20.057,115.8,0.494,59.986,2,multivariable
2026-02-17 13:40:00,19.83,115.42,0.489,59.98,2,multivariable
2026-02-17 13:50:00,19.61,116.34,0.506,59.97,2,multivariable
2026-02-17 14:00:00,19.78,117.23,0.51,59.95,2,multivariable
2026-02-17 14:10:00,20.26,116.31,0.515,59.95,2,multivariable
2026-02-17 14:20:00,19.87,116.74,0.506,59.96,2,multivariable
2026-02-17 14:30:00,19.9,116.41,0.509,59.93,2,multivariable
2026-02-17 14:40:00,94.95,115.63,0.687,59.93,2,multivariable
2026-02-17 14:50:00,85.47,116.04,0.674,59.97,2,multivariable
2026-02-17 15:00:00,86.2,114.1,0.671,59.99,2,multivariable
2026-02-17 15:10:00,81.34,114.97,0.659,59.94,2,multivariable
2026-02-17 15:20:00,79.41,115.39,0.646,59.94,2,multivariable
2026-02-17 15:30:00,78.73,115.53,0.652,59.97,2,multivariable
2026-02-17 15:40:00,80.79,116.34,0.661,59.91,2,multivariable
2026-02-17 15:50:00,86.35,115.71,0.675,59.96,2,multivariable
2026-02-17 16:00:00,123.94,115.66,0.764,59.95,2,multivariable
2026-02-17 16:10:00,146.22,115.4,0.826,59.97,2,multivariable
2026-02-17 16:20:00,427.362,115.2,0.886,59.975,2,multivariable
2026-02-17 16:30:00,905.244,114.9,0.99,59.933,2,multivariable
2026-02-17 16:40:00,912.556,115.8,0.991,59.944,2,multivariable
2026-02-17 16:50:00,907.28,114.51,0.99,59.96,2,multivariable
2026-02-17 17:00:00,889.45,111.78,0.99,59.99,2,multivariable
2026-02-17 17:10:00,906.0,110.75,0.991,59.97,2,multivariable
2026-02-17 17:20:00,873.06,108.84,0.989,59.96,2,multivariable
2026-02-17 17:30:00,924.07,113.68,0.99,59.93,2,multivariable
2026-02-17 17:40:00,943.61,115.15,0.99,59.94,2,multivariable
2026-02-17 17:50:00,952.75,115.17,0.99,59.96,2,multivariable
2026-02-17 18:00:00,759.01,112.37,0.953,59.98,2,multivariable
2026-02-17 18:10:00,198.33,117.44,0.831,59.97,2,multivariable
2026-02-17 18:20:00,199.08,116.81,0.833,59.93,2,multivariable
2026-02-17 18:30:00,203.21,114.55,0.825,59.96,2,multivariable
2026-02-17 18:40:00,207.28,115.0,0.817,59.93,2,multivariable
2026-02-17 18:50:00,175.13,116.46,0.761,59.95,2,multivariable
2026-02-17 19:00:00,161.425,116.638,0.739,59.975,2,multivariable
2026-02-17 19:10:00,181.24,116.87,0.785,59.95,2,multivariable
2026-02-17 19:20:00,167.522,115.056,0.799,59.989,2,multivariable
2026-02-17 19:30:00,147.683,115.333,0.795,59.9,2,multivariable
2026-02-17 19:40:00,144.5,116.4,0.794,59.944,2,multivariable
2026-02-17 19:50:00,142.32,116.61,0.793,59.97,2,multivariable
2026-02-17 20:00:00,131.562,116.238,0.775,59.988,2,multivariable
2026-02-17 20:10:00,142.5,115.87,0.77,59.96,2,multivariable
2026-02-17 20:20:00,145.67,117.55,0.753,59.95,2,multivariable
2026-02-17 20:30:00,158.09,116.7,0.745,59.95,2,multivariable
2026-02-17 20:40:00,141.74,117.73,0.728,59.97,2,multivariable
2026-02-17 20:50:00,142.34,118.15,0.757,59.93,2,multivariable
2026-02-17 21:00:00,134.01,118.27,0.758,59.95,2,multivariable
2026-02-17 21:10:00,143.0,117.54,0.775,59.96,2,multivariable
2026-02-17 21:20:00,126.68,118.18,0.75,59.96,2,multivariable
2026-02-17 21:30:00,76.71,118.78,0.72,59.98,2,multivariable
2026-02-17 21:40:00,755.15,117.62,0.966,59.98,2,multivariable
2026-02-17 21:50:00,736.96,116.33,0.967,59.98,2,multivariable
2026-02-17 22:00:00,36.61,117.75,0.651,59.99,2,multivariable
2026-02-17 22:10:00,30.43,118.93,0.601,59.94,2,multivariable
2026-02-17 22:20:00,26.69,118.77,0.575,59.96,2,multivariable
2026-02-17 22:30:00,24.34,117.67,0.538,59.96,2,multivariable
2026-02-17 22:40:00,20.362,118.138,0.492,59.95,2,multivariable
2026-02-17 22:50:00,21.92,118.86,0.5,59.95,2,multivariable
2026-02-17 23:00:00,21.48,119.67,0.5,59.96,2,multivariable
2026-02-17 23:10:00,19.812,117.412,0.5,59.938,2,multivariable
2026-02-17 23:20:00,19.875,117.888,0.5,59.938,2,multivariable
2026-02-17 23:30:00,20.15,117.78,0.499,59.96,2,multivariable
2026-02-17 23:40:00,19.8,118.2,0.493,59.94,2,multivariable
2026-02-17 23:50:00,19.79,117.4,0.484,59.98,2,multivariable
2026-02-18 00:00:00,19.84,118.13,0.49,59.98,2,multivariable
2026-02-18 00:10:00,19.762,117.925,0.499,59.938,2,multivariable
2026-02-18 00:20:00,19.76,118.07,0.499,59.96,2,multivariable
2026-02-18 00:30:00,21.86,118.27,0.507,59.98,2,multivariable
2026-02-18 00:40:00,19.86,118.74,0.483,59.99,2,multivariable
2026-02-18 00:50:00,19.94,117.8,0.483,59.96,2,multivariable
2026-02-18 01:00:00,20.45,118.94,0.496,59.96,2,multivariable
2026-02-18 01:10:00,19.83,118.53,0.494,59.96,2,multivariable
2026-02-18 01:20:00,19.73,117.89,0.499,59.93,2,multivariable
2026-02-18 01:30:00,19.8,118.31,0.498,59.95,2,multivariable
2026-02-18 01:40:00,19.85,118.51,0.494,59.98,2,multivariable
2026-02-18 01:50:00,19.77,117.93,0.504,59.96,2,multivariable
2026-02-18 02:00:00,19.81,118.62,0.5,59.98,2,multivariable
2026-02-18 02:10:00,19.86,118.44,0.5,59.96,2,multivariable
2026-02-18 02:20:00,19.9,118.15,0.495,59.93,2,multivariable
2026-02-18 02:30:00,22.3,118.27,0.518,59.99,2,multivariable
2026-02-18 02:40:00,23.83,118.2,0.535,59.96,2,multivariable
2026-02-18 02:50:00,19.71,117.75,0.501,59.97,2,multivariable
2026-02-18 03:00:00,19.87,118.86,0.491,59.92,2,multivariable
2026-02-18 03:10:00,19.9,118.61,0.49,59.97,2,multivariable
2026-02-18 03:20:00,19.79,118.41,0.499,59.98,2,multivariable
2026-02-18 03:30:00,23.61,119.29,0.541,59.96,2,multivariable
2026-02-18 03:40:00,25.29,118.53,0.56,59.92,2,multivariable
2026-02-18 03:50:00,25.67,117.68,0.561,59.94,2,multivariable
2026-02-18 04:00:00,25.72,118.43,0.561,59.97,2,multivariable
2026-02-18 04:10:00,25.27,118.28,0.562,59.95,2,multivariable
2026-02-18 04:20:00,25.37,117.97,0.561,59.94,2,multivariable
2026-02-18 04:30:00,25.24,118.21,0.56,59.97,2,multivariable
2026-02-18 04:40:00,25.15,117.93,0.559,59.93,2,multivariable
2026-02-18 04:50:00,25.1,116.6,0.566,59.93,2,multivariable
2026-02-18 05:00:00,25.17,117.45,0.566,59.95,2,multivariable
